AIRPORT;TIME;FLIGHT;TO/FROM;AIRLINE;AIRCRAFT;STATUS;TYPE
SOQ;7:55:00 AM;SJ571;UPG;Sriwijaya Air ;738;Unknown;Departure
SOQ;8:10:00 AM;IP921;CGK;Pelita Air ;A320 (PK-PWE) ;Departed 8:02 AM;Departure
SOQ;8:15:00 AM;GA683;CGK;Garuda Indonesia (Pokémon Livery) ;B738 (PK-GMU) ;Departed 8:30 AM;Departure
SOQ;10:10:00 AM;JT796;DJJ;Lion Air ;B739 (PK-LSY) ;Departed 10:18 AM;Departure
SOQ;10:30:00 AM;IW1522;KNG;Wings Air ;AT76 (PK-WJZ) ;Departed 10:46 AM;Departure
SOQ;10:45:00 AM;ID7780;CGK;Batik Air ;A320 (PK-BKQ) ;Departed 10:50 AM;Departure
SOQ;10:45:00 AM;ID6151;CGK;Batik Air ;32A ;Unknown;Departure
SOQ;12:55:00 PM;ID6195;UPG;Batik Air ;A320 (PK-LAJ) ;Departed 1:12 PM;Departure
SOQ;12:55:00 PM;ID6137;UPG;Batik Air ;32A ;Unknown;Departure
SOQ;12:55:00 PM;ID6269;UPG;Batik Air ;32A ;Unknown;Departure
SOQ;1:50:00 PM;IW1505;AMQ;Wings Air ;AT7 ;Canceled;Departure
SOQ;2:45:00 PM;JT945;UPG;Lion Air ;B739 (PK-LSL) ;Departed 3:09 PM;Departure
SOQ;2:45:00 PM;JT789;UPG;Lion Air ;738;Unknown;Departure
SOQ;2:45:00 PM;JT883;UPG;Lion Air ;739;Unknown;Departure
SOQ;3:20:00 PM;JT799;MDC;Lion Air ;B739 (PK-LSY) ;Departed 3:45 PM;Departure
SOQ;3:30:00 PM;JT947;UPG;Lion Air ;739;Canceled;Departure
SRG;7:00:00 AM;ID7369;CGK;Batik Air ;A320 (PK-LAO) ;Departed 7:20 AM;Departure
SRG;7:00:00 AM;JT270;DPS;Lion Air ;B739 (PK-LSK) ;Departed 7:16 AM;Departure
SRG;7:00:00 AM;JT624;BPN;Lion Air ;B739 (PK-LFW) ;Departed 7:12 AM;Departure
SRG;7:05:00 AM;GA231;CGK;Garuda Indonesia ;B738 (PK-GFP) ;Departed 7:07 AM;Departure
SRG;8:15:00 AM;IW1806;PKN;Wings Air ;AT7 ;Unknown;Departure
SRG;8:25:00 AM;ID6339;CGK;Batik Air ;A320 (PK-LAO) ;Departed 11:01 AM;Departure
SRG;8:55:00 AM;QG803;CGK;Citilink ;A320 (PK-GLI) ;Departed 8:45 AM;Departure
SRG;9:10:00 AM;IN196;PKN;Nam Air ;735;Unknown;Departure
SRG;9:35:00 AM;GA235;CGK;Garuda Indonesia ;B738 (PK-GFV) ;Departed 9:42 AM;Departure
SRG;10:40:00 AM;ID6351;CGK;Batik Air ;A320 (PK-LAO) ;Estimated dep. 11:01 AM;Departure
SRG;10:40:00 AM;JT542;BDJ;Lion Air ;B739 (PK-LSP) ;Departed 10:52 AM;Departure
SRG;11:10:00 AM;QG794;BDJ;Citilink ;A320 (PK-GQC) ;Departed 11:37 AM;Departure
SRG;11:40:00 AM;ID7556;HLP;Batik Air ;A320 (PK-BKT) ;Departed 11:43 AM;Departure
SRG;12:00:00 PM;IW1800;PKN;Wings Air ;AT7 ;Unknown;Departure
SRG;12:05:00 PM;ID6343;CGK;Batik Air ;A320 (PK-LAO) ;Unknown;Departure
SRG;12:35:00 PM;IU955;BTH;Super Air Jet ;A320 (PK-SAW) ;Departed 12:50 PM;Departure
SRG;1:05:00 PM;ID6337;CGK;Batik Air ;A320 (PK-LUR) ;Estimated dep. 1:17 PM;Departure
SRG;2:20:00 PM;ID6355;CGK;Batik Air ;A320 (PK-LUR) ;Departed 1:16 PM;Departure
SRG;2:50:00 PM;IN1980;PKN;Nam Air ;735;Unknown;Departure
SRG;3:25:00 PM;GA245;CGK;Garuda Indonesia (Livin' by Mandiri Livery) ;B738 (PK-GFJ) ;Departed 3:33 PM;Departure
SRG;3:25:00 PM;IW1808;PKN;Wings Air ;AT76 (PK-WHY) ;Departed 3:38 PM;Departure
SRG;3:40:00 PM;JT908;UPG;Lion Air ;B739 (PK-LGY) ;Departed 5:23 PM;Departure
SRG;3:45:00 PM;ID6341;CGK;Batik Air ;A320 (PK-LAO) ;Departed 4:09 PM;Departure
SRG;3:55:00 PM;SJ714;UPG;Sriwijaya Air ;738;Unknown;Departure
SRG;4:15:00 PM;ID7558;HLP;Batik Air ;A320 (PK-LUI) ;Departed 5:40 PM;Departure
SRG;4:25:00 PM;IN198;PKN;Nam Air ;735;Unknown;Departure
SRG;4:30:00 PM;QG793;CGK;Citilink ;A20N (PK-GTK) ;Departed 5:29 PM;Departure
SRG;4:50:00 PM;ID8355;CGK;Batik Air ;A320 (PK-LUR) ;Estimated dep. 5:06 PM;Departure
SRG;4:50:00 PM;JT546;BDJ;Lion Air ;B739 (PK-LGR) ;Departed 5:34 PM;Departure
SRG;4:55:00 PM;GA241;CGK;Garuda Indonesia ;B738 (PK-GMX) ;Departed 5:37 PM;Departure
SRG;6:10:00 PM;ID6353;CGK;Batik Air ;32A ;Unknown;Departure
SRG;7:45:00 AM;ID6338;CGK;Batik Air ;A320 (PK-LUR) ;Landed 12:25 PM;Arrival
SRG;7:45:00 AM;IW1809;PKN;Wings Air ;AT76 (PK-WHY) ;Landed 7:56 AM;Arrival
SRG;8:25:00 AM;QG792;CGK;Citilink ;A320 (PK-GLI) ;Landed 7:49 AM;Arrival
SRG;8:30:00 AM;GA232;CGK;Garuda Indonesia ;B738 (PK-GFV) ;Landed 8:35 AM;Arrival
SRG;8:40:00 AM;IN195;PKN;Nam Air ;735;Unknown;Arrival
SRG;10:00:00 AM;ID6350;CGK;Batik Air ;A320 (PK-LAO) ;Landed 10:11 AM;Arrival
SRG;10:00:00 AM;JT543;BDJ;Lion Air ;B739 (PK-LSP) ;Landed 10:04 AM;Arrival
SRG;10:25:00 AM;QG795;BDJ;Citilink ;A320 (PK-GQC) ;Landed 10:57 AM;Arrival
SRG;10:55:00 AM;ID7557;HLP;Batik Air ;A320 (PK-BKT) ;Landed 10:49 AM;Arrival
SRG;11:25:00 AM;ID6342;CGK;Batik Air ;A320 (PK-LUR) ;Unknown;Arrival
SRG;11:30:00 AM;IW1807;PKN;Wings Air ;AT7 ;Unknown;Arrival
SRG;11:50:00 AM;IU954;BTH;Super Air Jet ;A320 (PK-SAW) ;Landed 12:03 PM;Arrival
SRG;12:25:00 PM;ID6336;CGK;Batik Air ;A320 (PK-LUR) ;Unknown;Arrival
SRG;1:40:00 PM;ID6356;CGK;Batik Air ;A320 (PK-LAO) ;Landed 3:12 PM;Arrival
SRG;2:20:00 PM;IN1981;PKN;Nam Air ;735;Unknown;Arrival
SRG;2:40:00 PM;GA242;CGK;Garuda Indonesia (Livin' by Mandiri Livery) ;B738 (PK-GFJ) ;Landed 2:28 PM;Arrival
SRG;2:45:00 PM;JT909;UPG;Lion Air ;B739 (PK-LGY) ;Landed 4:23 PM;Arrival
SRG;3:05:00 PM;ID6340;CGK;Batik Air ;A320 (PK-LUR) ;Unknown;Arrival
SRG;3:15:00 PM;IW1801;PKN;Wings Air ;AT7 ;Unknown;Arrival
SRG;3:15:00 PM;SJ715;UPG;Sriwijaya Air ;738;Unknown;Arrival
SRG;3:35:00 PM;ID7559;HLP;Batik Air ;A320 (PK-LUI) ;Landed 4:51 PM;Arrival
SRG;3:35:00 PM;JT271;DPS;Lion Air ;B739 (PK-LSK) ;Landed 3:27 PM;Arrival
SRG;3:55:00 PM;IN197;PKN;NAM Air ;B735 (PK-NAS) ;Landed 3:05 PM;Arrival
SRG;4:00:00 PM;QG802;CGK;Citilink ;A20N (PK-GTK) ;Landed 4:42 PM;Arrival
SRG;4:05:00 PM;JT547;BDJ;Lion Air ;B739 (PK-LGR) ;Landed 4:29 PM;Arrival
SRG;4:10:00 PM;GA238;CGK;Garuda Indonesia ;B738 (PK-GMX) ;Landed 4:35 PM;Arrival
SRG;4:10:00 PM;ID8346;CGK;Batik Air ;32A ;Unknown;Arrival
SRG;5:30:00 PM;ID6362;CGK;Batik Air ;B738 (PK-LZQ) ;Landed 6:36 PM;Arrival
SRG;6:45:00 PM;GA246;CGK;Garuda Indonesia (Livin' by Mandiri Livery) ;B738 (PK-GFJ) ;Landed 6:55 PM;Arrival
SRG;6:45:00 PM;ID6352;CGK;Batik Air ;32A ;Canceled;Arrival
SRG;6:55:00 PM;JT625;BPN;Lion Air ;B739 (PK-LFW) ;Landed 7:02 PM;Arrival
SUB;5:10:00 AM;JT690;CGK;Lion Air ;B739 (PK-LHJ) ;Landed 5:06 AM;Arrival
SUB;5:10:00 AM;JT748;CGK;Lion Air ;739;Unknown;Arrival
SUB;6:05:00 AM;IU717;LOP;Super Air Jet ;A320 (PK-STI) ;Landed 6:28 AM;Arrival
SUB;6:15:00 AM;JT311;BDJ;Lion Air (20 years Sticker) ;B739 (PK-LHM) ;Landed 6:10 AM;Arrival
SUB;6:25:00 AM;ID6370;CGK;Batik Air ;32A ;Canceled;Arrival
SUB;6:30:00 AM;JT363;BPN;Lion Air ;B738 (PK-LJR) ;Landed 6:24 AM;Arrival
SUB;6:55:00 AM;ID6572;CGK;Batik Air ;A320 (PK-BKO) ;Landed 7:19 AM;Arrival
SUB;6:55:00 AM;ID7511;HLP;Batik Air ;A320 (PK-BKT) ;Landed 6:41 AM;Arrival
