AIRPORT,TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS,TYPE
SUB,4:40:00 PM,JT268,Tarakan (TRK),Lion Air ,B739 (PK-LKM) ,Departed 4:57 PM,Departure
SUB,4:45:00 PM,JT692,Kupang (KOE),Lion Air ,B739 (PK-LHR) ,Departed 5:10 PM,Departure
SUB,4:55:00 PM,JT920,Denpasar (DPS),Lion Air ,B739 (PK-LGL) ,Departed 5:43 PM,Departure
SUB,4:55:00 PM,IP623,Balikpapan (BPN),Pelita Air ,A320 (PK-PWF) ,Departed 5:06 PM,Departure
SUB,5:00:00 PM,JT226,Banjarmasin (BDJ),Lion Air ,B739 (PK-LHI) ,Departed 5:20 PM,Departure
SUB,5:00:00 PM,IU648,Balikpapan (BPN),Super Air Jet ,A320 (PK-SGC) ,Departed 6:07 PM,Departure
SUB,5:00:00 PM,QG488,Banjarmasin (BDJ),Citilink ,A320 (PK-GQF) ,Departed 5:04 PM,Departure
SUB,5:05:00 PM,QG418,Pontianak (PNK),Citilink ,A20N (PK-GTE) ,Departed 5:34 PM,Departure
SUB,5:15:00 PM,JT838,Pontianak (PNK),Lion Air ,B738 (PK-LPL) ,Departed 7:01 PM,Departure
SUB,5:25:00 PM,ID7579,Jakarta (CGK),Batik Air ,A320 (PK-LUQ) ,Departed 6:32 PM,Departure
SUB,5:30:00 PM,IU718,Lombok (LOP),Super Air Jet ,A320 (PK-SJH) ,Departed 6:43 PM,Departure
SUB,5:30:00 PM,QG711,Jakarta (CGK),Citilink ,A320 (PK-GLI) ,Departed 7:35 PM,Departure
SUB,5:40:00 PM,QG179,Jakarta (HLP),Citilink Garuda Indonesia ,A320 (PK-GQT) ,Departed 6:54 PM,Departure
SUB,5:45:00 PM,QG9436,Balikpapan (BPN),Citilink ,A320 (PK-GQR) ,Departed 6:28 PM,Departure
SUB,5:55:00 PM,JT800,Makassar (UPG),Lion Air (Bukalapak Livery) ,B739 (PK-LHH) ,Departed 6:05 PM,Departure
SUB,6:15:00 PM,ID6307,Jakarta (CGK),Batik Air ,A320 (PK-LUQ) ,Estimated dep. 6:34 PM,Departure
SUB,6:30:00 PM,GA313,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GNH) ,Departed 6:50 PM,Departure
SUB,6:30:00 PM,IP207,Jakarta (CGK),Pelita Air ,A320 (PK-PWH) ,Departed 6:34 PM,Departure
SUB,6:35:00 PM,JT366,Balikpapan (BPN),Lion Air ,B739 (PK-LGP) ,Departed 7:36 PM,Departure
SUB,6:40:00 PM,GA325,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GUA) ,Departed 6:46 PM,Departure
SUB,6:40:00 PM,SQ929,Singapore (SIN),Singapore Airlines ,B38M (9V-MBB) ,Departed 6:58 PM,Departure
SUB,7:00:00 PM,QG173,Jakarta (HLP),Citilink ,A320 (PK-GQQ) ,Departed 7:08 PM,Departure
SUB,7:05:00 PM,QG494,Banjarmasin (BDJ),Citilink ,A320 (PK-GLM) ,Departed 8:17 PM,Departure
SUB,7:15:00 PM,ID6575,Jakarta (CGK),Batik Air ,32A ,Unknown,Departure
SUB,7:35:00 PM,QG662,Denpasar (DPS),Citilink ,A320 (PK-GQP) ,Departed 8:53 PM,Departure
SUB,7:45:00 PM,QG719,Jakarta (CGK),Citilink ,A320 (PK-GQH) ,Departed 8:32 PM,Departure
SUB,7:50:00 PM,IP203,Jakarta (CGK),Pelita Air ,A320 (PK-PWD) ,Departed 8:03 PM,Departure
SUB,7:55:00 PM,GA319,Jakarta (CGK),Garuda Indonesia ,B738 (PK-GFV) ,Departed 8:28 PM,Departure
SUB,7:55:00 PM,ID7518,Jakarta (HLP),Batik Air ,A320 (PK-LUO) ,Estimated dep. 7:55 PM,Departure
SUB,7:55:00 PM,QG352,Makassar (UPG),Citilink ,A320 (PK-GQJ) ,Departed 8:25 PM,Departure
SUB,8:00:00 PM,JT880,Makassar (UPG),Lion Air ,B739 (PK-LSL) ,Departed 8:08 PM,Departure
SUB,8:25:00 PM,QG354,Makassar (UPG),Citilink (Retro Livery) ,A320 (PK-GQI) ,Estimated dep. 8:37 PM,Departure
SUB,9:20:00 PM,QG9721,Jakarta (CGK),Citilink ,A320 (PK-GLU) ,Estimated dep. 10:15 PM,Departure
SWQ,10:15:00 AM,IW1860,Lombok (LOP),Wings Air ,AT75 (PK-WFR) ,Landed 10:25 AM,Arrival
SWQ,10:35:00 AM,IW1861,Lombok (LOP),Wings Air ,AT75 (PK-WFR) ,Departed 11:09 AM,Departure
SXK,9:05:00 AM,IW1514,Ambon (AMQ),Wings Air ,AT76 (PK-WHV) ,Unknown,Arrival
SXK,9:35:00 AM,IW1515,Ambon (AMQ),Wings Air ,AT76 (PK-WHV) ,Departed 9:54 AM,Departure
TIM,6:05:00 AM,JT984,Makassar (UPG),Lion Air ,B739 (PK-LGJ) ,Landed 5:43 AM,Arrival
TIM,7:00:00 AM,SJ588,Makassar (UPG),Sriwijaya Air ,738,Unknown,Arrival
TIM,7:40:00 AM,IW1601,Nabire (NBX),Wings Air ,AT76 (PK-WHL) ,Landed 7:44 AM,Arrival
TIM,8:35:00 AM,ID6260,Makassar (UPG),Batik Air ,B738 (PK-LZS) ,Landed 8:39 AM,Arrival
TIM,8:35:00 AM,ID6268,Makassar (UPG),Batik Air ,32A ,Unknown,Arrival
TIM,9:05:00 AM,GA635,Jayapura (DJJ),Garuda Indonesia ,B738 (PK-GNC) ,Landed 8:46 AM,Arrival
TIM,10:15:00 AM,IW1609,Nabire (NBX),Wings Air ,AT7 ,Canceled,Arrival
TIM,10:15:00 AM,JT985,Jayapura (DJJ),Lion Air ,B739 (PK-LGJ) ,Landed 10:32 AM,Arrival
TIM,11:00:00 AM,IL7384,Wamena (WMX),Trigana Air ,73F ,Unknown,Arrival
TIM,11:05:00 AM,SJ589,Jayapura (DJJ),Sriwijaya Air ,738,Unknown,Arrival
TIM,12:45:00 PM,IW1605,Ewer (EWE),Wings Air ,AT76 (PK-WHL) ,Landed 12:18 PM,Arrival
TIM,1:15:00 PM,ID6187,Jayapura (DJJ),Batik Air ,B738 (PK-LZS) ,Landed 1:28 PM,Arrival
TIM,1:15:00 PM,ID6261,Jayapura (DJJ),Batik Air ,32A ,Unknown,Arrival
TIM,1:40:00 PM,IL7386,Wamena (WMX),Trigana Air ,73F ,Unknown,Arrival
TIM,6:55:00 AM,JT984,Jayapura (DJJ),Lion Air ,B739 (PK-LGJ) ,Departed 7:02 AM,Departure
TIM,7:45:00 AM,SJ588,Jayapura (DJJ),Sriwijaya Air ,738,Unknown,Departure
TIM,8:00:00 AM,IW1608,Nabire (NBX),Wings Air ,AT7 ,Canceled,Departure
TIM,9:20:00 AM,IL7383,Wamena (WMX),Trigana Air ,73F ,Unknown,Departure
TIM,9:25:00 AM,ID6186,Jayapura (DJJ),Batik Air ,B738 (PK-LZS) ,Departed 9:48 AM,Departure
TIM,9:25:00 AM,ID6260,Jayapura (DJJ),Batik Air ,32A ,Unknown,Departure
TIM,10:40:00 AM,IW1604,Ewer (EWE),Wings Air ,AT76 (PK-WHL) ,Departed 10:44 AM,Departure
TIM,10:55:00 AM,JT985,Makassar (UPG),Lion Air ,B739 (PK-LGJ) ,Departed 11:28 AM,Departure
TIM,11:30:00 AM,IL7385,Wamena (WMX),Trigana Air ,73F ,Unknown,Departure
TIM,11:50:00 AM,SJ589,Makassar (UPG),Sriwijaya Air ,738,Unknown,Departure
TIM,12:50:00 PM,GA634,Jayapura (DJJ),Garuda Indonesia ,B738 (PK-GNC) ,Departed 1:06 PM,Departure
